,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,9933276,34729,497527,1448,5381664,4054085,57696
1,1,USA,2553068,112,127640,0,1068768,1356660,15765
2,2,Brazil,1280054,0,56109,0,697526,526419,8318
3,3,Russia,627646,6852,8969,188,393352,225325,2300
4,4,India,511478,2032,15731,42,297013,198734,8944
5,5,UK,309360,0,43414,0,0,0,311
6,6,Spain,294985,0,28338,0,0,0,617
7,7,Peru,272364,0,8939,0,159806,103619,1172
8,8,Chile,263360,0,5068,0,223431,34861,2086
9,9,Italy,239961,0,34708,0,187615,17638,105
10,10,Iran,220180,2456,10364,125,180661,29155,2928
11,11,Mexico,208392,5441,25779,719,120562,62051,378
12,12,Pakistan,198883,3138,4035,73,86906,107942,2729
13,13,Turkey,194511,0,5065,0,167198,22248,963
14,14,Germany,194399,0,9026,0,177500,7873,364
15,15,Saudi Arabia,174577,0,1474,0,120471,52632,2273
16,16,France,162936,0,29778,0,75351,57807,651
17,17,Bangladesh,133978,3504,1695,34,54318,77965,1
18,18,South Africa,124590,0,2340,0,64111,58139,539
19,19,Canada,102794,0,8508,0,65726,28560,2085
20,20,Qatar,93663,879,110,1,77225,16328,205
21,21,Colombia,84442,0,2811,0,34937,46694,335
22,22,Sweden,65137,0,5280,0,0,0,171
23,23,Egypt,62755,0,2620,0,16737,43398,41
24,24,Belgium,61209,103,9732,1,16941,34536,35
25,25,Belarus,60713,0,373,0,42689,17651,89
26,26,Argentina,55343,0,1184,0,18416,35743,457
27,27,Ecuador,53856,0,4406,0,26493,22957,288
28,28,Indonesia,52812,1385,2720,37,21909,28183,0
29,29,Netherlands,50005,0,6103,0,0,0,39
30,30,UAE,46973,0,310,0,35469,11194,1
31,31,Kuwait,43703,0,341,0,33969,9393,162
32,32,Singapore,43246,291,26,0,36825,6395,1
33,33,Ukraine,42065,948,1110,24,18701,22254,386
34,34,Iraq,41193,0,1559,0,18859,20775,247
35,35,Portugal,40866,0,1555,0,26633,12678,67
36,36,Oman,36953,919,159,6,20363,16431,113
37,37,Philippines,34803,730,1236,12,9430,24137,147
38,38,Poland,33714,319,1435,6,19972,12307,80
39,39,Switzerland,31555,69,1962,0,29000,593,11
40,40,Afghanistan,30616,165,703,20,10674,19239,19
41,41,Panama,29905,0,575,0,15270,14060,148
42,42,Dominican Republic,29764,0,712,0,16357,12695,181
43,43,Bolivia,29423,920,934,21,7736,20753,71
44,44,Romania,26022,325,1589,10,18530,5903,199
45,45,Ireland,25414,0,1730,0,23364,320,12
46,46,Bahrain,24805,0,76,3,19137,5592,45
47,47,Armenia,23909,662,421,11,12911,10577,10
48,48,Nigeria,23298,0,554,0,8253,14491,7
49,49,Israel,22800,0,314,0,16872,5614,46
50,50,Kazakhstan,20319,569,150,0,12589,7580,121
51,51,Japan,18197,0,969,0,16392,836,51
52,52,Austria,17580,58,700,2,16371,509,10
53,53,Honduras,15994,628,471,45,1678,13845,13
54,54,Ghana,15834,0,103,0,11755,3976,6
55,55,Guatemala,15828,209,672,49,3028,12128,5
56,56,Moldova,15776,0,515,0,8765,6496,455
57,57,Azerbaijan,15369,0,187,0,8364,6818,66
58,58,Serbia,13565,0,265,0,12232,1068,26
59,59,Algeria,12685,0,885,0,9066,2734,48
60,60,Denmark,12675,0,604,0,11508,563,11
61,61,S. Korea,12653,51,282,0,11317,1054,15
62,62,Cameroon,12592,0,313,0,10100,2179,52
63,63,Nepal,12309,554,28,1,2834,9447,0
64,64,Morocco,11854,221,218,0,8700,2936,7
65,65,Czechia,11044,6,349,0,7669,3026,11
66,66,Sudan,9257,0,572,0,4014,4671,0
67,67,Norway,8832,0,249,0,8138,445,4
68,68,Ivory Coast,8739,0,64,0,3587,5088,0
69,69,Malaysia,8616,10,121,0,8308,187,2
70,70,Australia,7641,46,104,0,6979,558,1
71,71,Uzbekistan,7490,63,20,0,5038,2432,28
72,72,Finland,7198,7,328,0,6600,270,1
73,73,DRC,6552,0,149,0,900,5503,0
74,74,Senegal,6354,0,98,0,4193,2063,27
75,75,North Macedonia,5758,0,268,0,2206,3284,55
76,76,Tajikistan,5747,0,52,0,4331,1364,0
77,77,El Salvador,5727,210,143,10,3447,2137,172
78,78,Haiti,5722,179,98,2,641,4983,0
79,79,Kenya,5533,0,137,0,1905,3491,7
80,80,Ethiopia,5425,0,89,0,1688,3648,27
81,81,Guinea,5260,0,29,0,4155,1076,24
82,82,Gabon,5209,0,40,0,2327,2842,10
83,83,Venezuela,4779,0,41,0,1327,3411,9
84,84,Djibouti,4643,0,52,0,4348,243,0
85,85,Bulgaria,4513,0,215,0,2457,1841,18
86,86,Kyrgyzstan,4513,309,46,3,2212,2255,30
87,87,Luxembourg,4173,0,110,0,3968,95,1
88,88,Hungary,4138,11,578,0,2681,879,11
89,89,Bosnia and Herzegovina,3935,0,178,0,2338,1419,4
90,90,Mauritania,3907,0,120,0,1280,2507,21
91,91,Greece,3343,0,191,0,1374,1778,11
92,92,CAR,3340,0,40,0,661,2639,2
93,93,French Guiana,3270,0,11,0,1166,2093,21
94,94,Thailand,3162,0,58,0,3053,51,1
95,95,Somalia,2878,0,90,0,868,1920,2
96,96,Costa Rica,2836,0,12,0,1280,1544,6
97,97,Croatia,2539,0,107,0,2150,282,0
98,98,Mayotte,2508,0,32,0,2218,258,8
99,99,Albania,2330,61,53,2,1346,931,12
100,100,Cuba,2325,0,85,0,2180,60,1
101,101,Maldives,2283,0,8,0,1863,412,9
102,102,Nicaragua,2170,0,74,0,1238,858,0
103,103,Mali,2060,0,113,0,1387,560,0
104,104,Sri Lanka,2033,19,11,0,1639,383,1
105,105,Madagascar,2005,83,16,0,907,1082,21
106,106,Equatorial Guinea,2001,0,32,0,515,1454,0
107,107,Estonia,1986,0,69,0,1812,105,0
108,108,South Sudan,1942,0,36,0,224,1682,1
109,109,Iceland,1832,0,10,0,1813,9,0
110,110,Lithuania,1813,5,78,0,1503,232,16
111,111,Paraguay,1711,0,13,0,1013,685,2
112,112,Lebanon,1697,0,33,0,1144,520,6
113,113,Slovakia,1657,14,28,0,1455,174,0
114,114,Palestine,1624,67,3,0,446,1175,0
115,115,Guinea-Bissau,1614,0,22,0,191,1401,5
116,116,Slovenia,1572,14,109,0,1376,87,2
117,117,Zambia,1531,0,21,0,1233,277,1
118,118,New Zealand,1522,2,22,0,1484,16,0
119,119,Sierra Leone,1394,0,59,0,914,421,0
120,120,Hong Kong,1198,1,7,0,1095,96,1
121,121,Tunisia,1164,0,50,0,1023,91,0
122,122,Latvia,1115,3,30,0,932,153,1
123,123,Jordan,1104,0,9,0,830,265,3
124,124,Yemen,1089,0,293,0,402,394,0
125,125,Congo,1087,0,37,0,456,594,0
126,126,Niger,1062,3,67,0,924,71,0
127,127,Benin,1053,0,14,0,292,747,2
128,128,Cabo Verde,1027,0,10,0,568,449,0
129,129,Malawi,1005,0,13,0,260,732,4
130,130,Cyprus,992,0,19,0,824,149,0
131,131,Burkina Faso,941,0,53,0,830,58,0
132,132,Georgia,921,2,14,0,781,126,5
133,133,Uruguay,919,0,26,0,818,75,2
134,134,Chad,865,0,74,0,778,13,0
135,135,Rwanda,858,0,2,0,398,458,0
136,136,Andorra,855,0,52,0,799,4,0
137,137,Uganda,848,15,0,0,761,87,0
138,138,Mozambique,816,0,5,0,223,588,0
139,139,Eswatini,728,0,8,0,367,353,5
