,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"9,933,276","+34,729","497,527","+1,448","5,381,664","4,054,085","57,696"
1,1,USA,"2,553,068",+112,"127,640 ",,"1,068,768","1,356,660","15,765"
2,2,Brazil,"1,280,054",,"56,109 ",,"697,526","526,419","8,318"
3,3,Russia,"627,646","+6,852","8,969 ",+188,"393,352","225,325","2,300"
4,4,India,"511,478","+2,032","15,731 ",+42,"297,013","198,734","8,944"
5,5,UK,"309,360",,"43,414 ",,N/A,N/A,311
6,6,Spain,"294,985",,"28,338 ",,N/A,N/A,617
7,7,Peru,"272,364",,"8,939 ",,"159,806","103,619","1,172"
8,8,Chile,"263,360",,"5,068 ",,"223,431","34,861","2,086"
9,9,Italy,"239,961",,"34,708 ",,"187,615","17,638",105
10,10,Iran,"220,180","+2,456","10,364 ",+125,"180,661","29,155","2,928"
11,11,Mexico,"208,392","+5,441","25,779 ",+719,"120,562","62,051",378
12,12,Pakistan,"198,883","+3,138","4,035 ",+73,"86,906","107,942","2,729"
13,13,Turkey,"194,511",,"5,065 ",,"167,198","22,248",963
14,14,Germany,"194,399",,"9,026 ",,"177,500","7,873",364
15,15,Saudi Arabia,"174,577",,"1,474 ",,"120,471","52,632","2,273"
16,16,France,"162,936",,"29,778 ",,"75,351","57,807",651
17,17,Bangladesh,"133,978","+3,504","1,695 ",+34,"54,318","77,965",1
18,18,South Africa,"124,590",,"2,340 ",,"64,111","58,139",539
19,19,Canada,"102,794",,"8,508 ",,"65,726","28,560","2,085"
20,20,Qatar,"93,663",+879,110 ,+1,"77,225","16,328",205
21,21,Colombia,"84,442",,"2,811 ",,"34,937","46,694",335
22,22,Sweden,"65,137",,"5,280 ",,N/A,N/A,171
23,23,Egypt,"62,755",,"2,620 ",,"16,737","43,398",41
24,24,Belgium,"61,209",+103,"9,732 ",+1,"16,941","34,536",35
25,25,Belarus,"60,713",,373 ,,"42,689","17,651",89
26,26,Argentina,"55,343",,"1,184 ",,"18,416","35,743",457
27,27,Ecuador,"53,856",,"4,406 ",,"26,493","22,957",288
28,28,Indonesia,"52,812","+1,385","2,720 ",+37,"21,909","28,183",
29,29,Netherlands,"50,005",,"6,103 ",,N/A,N/A,39
30,30,UAE,"46,973",,310 ,,"35,469","11,194",1
31,31,Kuwait,"43,703",,341 ,,"33,969","9,393",162
32,32,Singapore,"43,246",+291,26 ,,"36,825","6,395",1
33,33,Ukraine,"42,065",+948,"1,110 ",+24,"18,701","22,254",386
34,34,Iraq,"41,193",,"1,559 ",,"18,859","20,775",247
35,35,Portugal,"40,866",,"1,555 ",,"26,633","12,678",67
36,36,Oman,"36,953",+919,159 ,+6,"20,363","16,431",113
37,37,Philippines,"34,803",+730,"1,236 ",+12,"9,430","24,137",147
38,38,Poland,"33,714",+319,"1,435 ",+6,"19,972","12,307",80
39,39,Switzerland,"31,555",+69,"1,962 ",,"29,000",593,11
40,40,Afghanistan,"30,616",+165,703 ,+20,"10,674","19,239",19
41,41,Panama,"29,905",,575 ,,"15,270","14,060",148
42,42,Dominican Republic,"29,764",,712 ,,"16,357","12,695",181
43,43,Bolivia,"29,423",+920,934 ,+21,"7,736","20,753",71
44,44,Romania,"26,022",+325,"1,589 ",+10,"18,530","5,903",199
45,45,Ireland,"25,414",,"1,730 ",,"23,364",320,12
46,46,Bahrain,"24,805",,76 ,+3,"19,137","5,592",45
47,47,Armenia,"23,909",+662,421 ,+11,"12,911","10,577",10
48,48,Nigeria,"23,298",,554 ,,"8,253","14,491",7
49,49,Israel,"22,800",,314 ,,"16,872","5,614",46
50,50,Kazakhstan,"20,319",+569,150 ,,"12,589","7,580",121
