,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,9098970,59875,471519,1915,4873128,3754323,57870
1,1,USA,2363825,7168,122292,45,980836,1260697,16477
2,2,Brazil,1086990,0,50659,0,579226,457105,8318
3,3,Russia,592280,7600,8206,95,344416,239658,2300
4,4,India,430708,3798,13780,77,240289,176639,8944
5,5,UK,305289,958,42647,15,0,0,379
6,6,Spain,293352,0,28323,0,0,0,617
7,7,Peru,254936,0,8045,0,141967,104924,1143
8,8,Chile,246963,4608,4502,23,205397,37064,2014
9,9,Italy,238499,0,34634,0,182893,20972,148
10,10,Iran,207525,2573,9742,119,166427,31356,2898
11,11,Germany,191718,143,8964,2,174900,7854,368
12,12,Turkey,187685,0,4950,0,160240,22495,803
13,13,Pakistan,181088,4471,3590,89,71458,106040,3219
14,14,Mexico,180545,5343,21825,1044,135279,23441,378
15,15,Saudi Arabia,161005,3393,1307,40,105175,54523,2045
16,16,France,160377,0,29640,0,74372,56365,715
17,17,Bangladesh,115786,3480,1502,38,46755,67529,1
18,18,Canada,101498,161,8433,3,64100,28965,2026
19,19,South Africa,97302,0,1930,0,51608,43764,208
20,20,Qatar,88403,1034,99,1,69956,18348,219
21,21,Colombia,68652,0,2237,0,27360,39055,335
22,22,Belgium,60550,0,9696,0,16771,34083,50
23,23,Belarus,59023,518,351,5,37923,20749,89
24,24,Sweden,56043,0,5053,0,0,0,200
25,25,Egypt,55233,0,2193,0,14736,38304,41
26,26,Ecuador,50640,0,4223,0,24991,21426,273
27,27,Netherlands,49658,65,6090,0,0,0,55
28,28,Indonesia,46845,954,2500,35,18735,25610,0
29,29,UAE,44925,0,302,0,32415,12208,1
30,30,Argentina,42785,0,1016,5,13153,28616,353
31,31,Singapore,42313,218,26,0,35590,6697,1
32,32,Kuwait,40291,641,330,4,31770,8191,181
33,33,Portugal,39392,259,1534,4,25548,12310,72
34,34,Ukraine,37241,681,1012,10,16642,19587,353
35,35,Iraq,32676,1808,1167,67,14785,16724,222
36,36,Poland,32227,296,1359,3,17076,13792,72
37,37,Switzerland,31310,18,1956,0,29000,354,16
38,38,Oman,31076,1605,137,6,16408,14531,100
39,39,Philippines,30682,630,1177,8,8143,21362,82
40,40,Afghanistan,29143,310,598,17,8841,19704,19
41,41,Dominican Republic,27370,693,669,7,15338,11363,175
42,42,Panama,26030,0,501,0,14359,11170,129
43,43,Ireland,25379,0,1715,0,22698,966,17
44,44,Bolivia,24388,876,773,33,5454,18161,71
45,45,Romania,24291,246,1523,11,17031,5737,195
46,46,Bahrain,21764,0,64,1,16419,5281,32
47,47,Israel,20869,91,307,1,15714,4848,46
48,48,Armenia,20588,320,360,10,9131,11097,10
49,49,Nigeria,20244,0,518,0,6879,12847,7
50,50,Japan,17864,0,953,0,16108,803,59
51,51,Kazakhstan,17732,507,120,0,10897,6715,121
52,52,Austria,17380,39,690,0,16241,449,10
53,53,Moldova,14363,163,480,7,8019,5864,440
54,54,Ghana,14154,147,85,0,10473,3596,6
55,55,Azerbaijan,13207,478,161,7,7168,5878,66
56,56,Guatemala,13145,390,531,17,2711,9903,5
57,57,Serbia,12990,96,262,1,11997,731,19
58,58,Honduras,12769,463,363,5,1293,11113,13
59,59,Denmark,12527,136,602,2,11347,578,7
60,60,S. Korea,12438,17,280,0,10881,1277,15
61,61,Cameroon,11892,0,303,0,7710,3879,28
62,62,Algeria,11771,0,845,0,8422,2504,41
63,63,Czechia,10498,0,336,0,7505,2657,9
64,64,Morocco,10079,102,214,0,8319,1546,7
65,65,Nepal,9561,535,23,0,2148,7390,0
