,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,10592660,14904,514082,896,5801646,4276932,57850
1,1,USA,2727996,143,130123,1,1143490,1454383,15935
2,2,Brazil,1408485,0,59656,0,790040,558789,8318
3,3,Russia,647849,0,9320,0,412650,225879,2300
4,4,India,585792,0,17410,0,347979,220403,8944
5,5,UK,312654,0,43730,0,0,0,276
6,6,Spain,296351,0,28355,0,0,0,617
7,7,Peru,285213,0,9677,0,174535,101001,1185
8,8,Chile,279393,0,5688,0,241229,32476,2106
9,9,Italy,240578,0,34767,0,190248,15563,93
10,10,Iran,227662,0,10817,0,188758,28087,3049
11,11,Mexico,226089,5432,27769,648,134957,63363,378
12,12,Pakistan,213470,4133,4395,91,100802,108273,2741
13,13,Turkey,199906,0,5131,0,173111,21664,1026
14,14,Germany,195832,0,9052,0,179800,6980,337
15,15,Saudi Arabia,190823,0,1649,0,130766,58408,2278
16,16,France,164801,0,29843,0,76274,58684,602
17,17,South Africa,151209,0,2657,0,73543,75009,539
18,18,Bangladesh,145483,0,1847,0,59624,84012,1
19,19,Canada,104204,0,8591,0,67594,28019,2103
20,20,Colombia,97846,0,3334,0,42073,52439,335
21,21,Qatar,96088,0,113,0,81564,14411,200
22,22,Sweden,68451,0,5333,0,0,0,144
23,23,Egypt,68311,0,2953,0,18460,46898,41
24,24,Argentina,64530,0,1307,0,22028,41195,457
25,25,Belarus,62118,0,392,0,46054,15672,89
26,26,Belgium,61427,0,9747,0,16984,34696,41
27,27,Ecuador,56432,0,4527,0,27594,24311,288
28,28,Indonesia,56385,0,2876,0,24806,28703,0
29,29,Netherlands,50273,0,6113,0,0,0,30
30,30,Iraq,49109,0,1943,0,24760,22406,293
31,31,UAE,48667,0,315,0,37566,10786,1
32,32,Kuwait,46195,0,354,0,37030,8811,139
33,33,Ukraine,44998,664,1173,14,19548,24277,97
34,34,Singapore,43907,0,26,0,38500,5381,1
35,35,Portugal,42141,0,1576,0,27505,13060,73
36,36,Oman,40070,0,176,0,23425,16469,117
37,37,Philippines,37514,0,1266,0,10233,26015,148
38,38,Poland,34393,0,1463,0,21281,11649,85
39,39,Panama,33550,0,631,0,15745,17174,140
40,40,Bolivia,33219,1094,1123,52,9340,22756,71
41,41,Dominican Republic,32568,0,747,0,17580,14241,207
42,42,Afghanistan,31762,245,774,28,15661,15327,19
43,43,Switzerland,31714,0,1963,0,29200,551,11
44,44,Romania,26970,0,1651,0,19050,6269,205
45,45,Bahrain,26758,0,87,0,21331,5340,50
46,46,Armenia,26065,523,453,10,14563,11049,10
47,47,Nigeria,25694,0,590,0,9746,15358,7
48,48,Ireland,25473,0,1736,0,23364,373,12
49,49,Israel,25244,0,320,0,17341,7583,52
50,50,Kazakhstan,22308,489,188,0,13558,8562,121
51,51,Honduras,19558,740,497,12,2060,17001,58
52,52,Japan,18593,0,972,0,16631,990,43
53,53,Guatemala,18096,687,773,27,3194,14129,5
54,54,Austria,17766,0,705,0,16478,583,6
55,55,Ghana,17741,0,112,0,13268,4361,6
56,56,Azerbaijan,17524,0,213,0,9715,7596,66
57,57,Moldova,16613,0,545,0,9382,6686,469
58,58,Serbia,14564,0,277,0,12662,1625,42
59,59,Algeria,13907,0,912,0,9897,3098,42
60,60,Nepal,13564,0,29,0,3194,10341,0
61,61,S. Korea,12850,50,282,0,11613,955,15
62,62,Denmark,12768,0,605,0,11649,514,10
63,63,Cameroon,12592,0,313,0,10100,2179,52
64,64,Morocco,12533,0,228,0,8920,3385,7
65,65,Czechia,11954,0,349,0,7771,3834,12
66,66,Ivory Coast,9499,0,68,0,4273,5158,0
67,67,Sudan,9257,0,572,0,4014,4671,0
68,68,Norway,8879,0,250,0,8138,491,2
69,69,Malaysia,8639,0,121,0,8354,164,4
70,70,Uzbekistan,8627,124,26,0,5682,2919,26
71,71,Australia,7920,84,104,0,7040,776,2
72,72,Finland,7214,0,328,0,6600,286,0
73,73,DRC,7039,0,170,0,1426,5443,0
74,74,Senegal,6793,0,112,0,4431,2250,30
75,75,El Salvador,6438,0,182,8,3809,2447,168
76,76,Kenya,6366,0,148,0,2039,4179,18
77,77,North Macedonia,6334,0,302,0,2475,3557,55
78,78,Haiti,5975,42,105,0,931,4939,0
79,79,Tajikistan,5900,0,52,0,4506,1342,0
80,80,Ethiopia,5846,0,103,0,2430,3313,35
81,81,Venezuela,5832,0,51,0,1649,4132,9
82,82,Kyrgyzstan,5735,439,62,5,2443,3230,30
83,83,Gabon,5394,0,42,0,2420,2932,10
84,84,Guinea,5391,0,33,0,4326,1032,24
85,85,Bulgaria,4989,0,230,0,2676,2083,32
86,86,Djibouti,4682,0,54,0,4524,104,0
87,87,Bosnia and Herzegovina,4453,0,186,0,2402,1865,4
88,88,Mauritania,4363,0,129,0,1622,2612,21
89,89,Luxembourg,4299,0,110,0,3998,191,2
90,90,Hungary,4155,0,585,0,2692,878,9
91,91,French Guiana,4004,0,15,0,1508,2481,20
92,92,CAR,3745,0,47,0,787,2911,2
93,93,Costa Rica,3459,0,16,0,1436,2007,5
94,94,Greece,3409,0,192,0,1374,1843,9
95,95,Thailand,3173,2,58,0,3059,56,1
96,96,Somalia,2924,0,90,0,910,1924,2
97,97,Croatia,2777,0,107,0,2155,515,0
98,98,Mayotte,2603,0,35,0,2325,243,4
99,99,Albania,2535,0,62,0,1459,1014,11
100,100,Nicaragua,2519,0,83,0,1238,1198,0
101,101,Palestine,2428,0,8,0,451,1969,0
102,102,Maldives,2361,0,9,0,1944,408,12
103,103,Cuba,2341,0,86,0,2214,41,1
104,104,Paraguay,2221,0,17,0,1089,1115,3
105,105,Madagascar,2214,0,20,0,994,1200,42
106,106,Mali,2181,0,116,0,1474,591,0
107,107,Sri Lanka,2047,0,11,0,1711,325,1
108,108,South Sudan,2007,0,38,0,279,1690,1
109,109,Equatorial Guinea,2001,0,32,0,515,1454,0
110,110,Estonia,1989,0,69,0,1829,91,1
111,111,Iceland,1842,0,10,0,1819,13,0
112,112,Lithuania,1817,0,78,0,1515,224,16
113,113,Lebanon,1778,0,34,0,1183,561,6
114,114,Slovakia,1667,0,28,0,1464,175,0
115,115,Guinea-Bissau,1654,0,24,0,317,1313,5
116,116,Slovenia,1600,0,111,0,1384,105,0
117,117,Zambia,1594,0,24,0,1329,241,1
118,118,New Zealand,1528,0,22,0,1484,22,1
119,119,Sierra Leone,1462,0,60,0,974,428,0
120,120,Cabo Verde,1227,0,15,0,629,583,0
121,121,Malawi,1224,0,14,0,260,950,4
122,122,Hong Kong,1206,0,7,0,1107,92,1
123,123,Benin,1199,0,21,0,333,845,1
124,124,Tunisia,1174,0,50,0,1031,93,0
125,125,Yemen,1158,0,312,0,488,358,0
126,126,Jordan,1132,0,9,0,882,241,3
127,127,Latvia,1121,3,30,0,974,117,1
128,128,Congo,1087,0,37,0,456,594,0
129,129,Niger,1075,0,67,0,943,65,0
130,130,Rwanda,1025,0,2,0,447,576,0
131,131,Cyprus,998,0,19,0,833,146,0
132,132,Burkina Faso,962,0,53,0,838,71,0
133,133,Uruguay,936,0,27,0,824,85,2
