,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"9,535,219","+15,737","485,187","+1,228","5,180,287","3,869,745","58,092"
1,1,USA,"2,462,708",+154,"124,282 ",+1,"1,040,608","1,297,818","16,541"
2,2,Brazil,"1,192,474",,"53,874 ",,"649,908","488,692","8,318"
3,3,Russia,"606,881",,"8,513 ",,"368,822","229,546","2,300"
4,4,India,"473,719",+734,"14,907 ",,"271,723","187,089","8,944"
5,5,UK,"306,862",,"43,081 ",,N/A,N/A,311
6,6,Spain,"294,166",,"28,327 ",,N/A,N/A,617
7,7,Peru,"264,689",,"8,586 ",,"151,589","104,514","1,166"
8,8,Chile,"254,416",,"4,731 ",,"215,093","34,592","2,046"
9,9,Italy,"239,410",,"34,644 ",,"186,111","18,655",107
10,10,Iran,"212,501",,"9,996 ",,"172,096","30,409","2,869"
11,11,Mexico,"196,847","+5,437","24,324 ",+947,"149,318","23,205",378
12,12,Germany,"193,254",,"9,003 ",,"176,300","7,951",331
13,13,Pakistan,"192,970","+4,044","3,903 ",+148,"81,307","107,760","3,003"
14,14,Turkey,"191,657",,"5,025 ",,"164,234","22,398",914
15,15,Saudi Arabia,"167,267",,"1,387 ",,"112,797","53,083","2,129"
16,16,France,"161,348",,"29,731 ",,"75,127","56,490",658
17,17,Bangladesh,"122,660",,"1,582 ",,"49,666","71,412",1
18,18,South Africa,"111,796",,"2,205 ",,"56,874","52,717",539
19,19,Canada,"102,242",,"8,484 ",,"65,091","28,667","2,058"
20,20,Qatar,"90,778",,104 ,,"73,083","17,591",219
21,21,Colombia,"77,113",,"2,491 ",,"31,671","42,951",335
22,22,Sweden,"62,324",,"5,209 ",,N/A,N/A,193
23,23,Belgium,"60,898",,"9,722 ",,"16,771","34,405",41
24,24,Belarus,"59,945",,362 ,,"40,136","19,447",89
25,25,Egypt,"59,561",,"2,450 ",,"15,935","41,176",41
26,26,Ecuador,"51,643",,"4,274 ",,"24,991","22,378",273
27,27,Argentina,"49,851",,"1,116 ",,"13,816","34,919",353
28,28,Netherlands,"49,804",,"6,097 ",,N/A,N/A,48
29,29,Indonesia,"49,009",,"2,573 ",,"19,658","26,778",
30,30,UAE,"46,133",,307 ,,"34,405","11,421",1
31,31,Singapore,"42,623",,26 ,,"36,299","6,298",1
32,32,Kuwait,"41,879",,337 ,,"32,809","8,733",153
33,33,Portugal,"40,104",,"1,543 ",,"26,083","12,478",73
34,34,Ukraine,"40,008",+994,"1,067 ",+16,"17,758","21,183",372
35,35,Iraq,"36,702",,"1,330 ",,"16,814","18,558",222
36,36,Oman,"33,536",,142 ,,"17,972","15,422",100
37,37,Poland,"32,821",,"1,396 ",,"18,134","13,291",65
38,38,Philippines,"32,295",,"1,204 ",,"8,656","22,435",82
39,39,Switzerland,"31,376",,"1,958 ",,"29,000",418,12
40,40,Afghanistan,"30,175",+535,675 ,+36,"10,174","19,326",19
41,41,Dominican Republic,"28,631",,691 ,,"16,006","11,934",182
42,42,Panama,"28,030",,547 ,,"14,794","12,689",130
43,43,Bolivia,"27,487","+1,098",876 ,+30,"6,795","19,816",71
