,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,9535219,15737,485187,1228,5180287,3869745,58092
1,1,USA,2462708,154,124282,1,1040608,1297818,16541
2,2,Brazil,1192474,0,53874,0,649908,488692,8318
3,3,Russia,606881,0,8513,0,368822,229546,2300
4,4,India,473719,734,14907,0,271723,187089,8944
5,5,UK,306862,0,43081,0,0,0,311
6,6,Spain,294166,0,28327,0,0,0,617
7,7,Peru,264689,0,8586,0,151589,104514,1166
8,8,Chile,254416,0,4731,0,215093,34592,2046
9,9,Italy,239410,0,34644,0,186111,18655,107
10,10,Iran,212501,0,9996,0,172096,30409,2869
11,11,Mexico,196847,5437,24324,947,149318,23205,378
12,12,Germany,193254,0,9003,0,176300,7951,331
13,13,Pakistan,192970,4044,3903,148,81307,107760,3003
14,14,Turkey,191657,0,5025,0,164234,22398,914
15,15,Saudi Arabia,167267,0,1387,0,112797,53083,2129
16,16,France,161348,0,29731,0,75127,56490,658
17,17,Bangladesh,122660,0,1582,0,49666,71412,1
18,18,South Africa,111796,0,2205,0,56874,52717,539
19,19,Canada,102242,0,8484,0,65091,28667,2058
20,20,Qatar,90778,0,104,0,73083,17591,219
21,21,Colombia,77113,0,2491,0,31671,42951,335
22,22,Sweden,62324,0,5209,0,0,0,193
23,23,Belgium,60898,0,9722,0,16771,34405,41
24,24,Belarus,59945,0,362,0,40136,19447,89
25,25,Egypt,59561,0,2450,0,15935,41176,41
26,26,Ecuador,51643,0,4274,0,24991,22378,273
27,27,Argentina,49851,0,1116,0,13816,34919,353
28,28,Netherlands,49804,0,6097,0,0,0,48
29,29,Indonesia,49009,0,2573,0,19658,26778,0
30,30,UAE,46133,0,307,0,34405,11421,1
31,31,Singapore,42623,0,26,0,36299,6298,1
32,32,Kuwait,41879,0,337,0,32809,8733,153
33,33,Portugal,40104,0,1543,0,26083,12478,73
34,34,Ukraine,40008,994,1067,16,17758,21183,372
35,35,Iraq,36702,0,1330,0,16814,18558,222
36,36,Oman,33536,0,142,0,17972,15422,100
37,37,Poland,32821,0,1396,0,18134,13291,65
38,38,Philippines,32295,0,1204,0,8656,22435,82
39,39,Switzerland,31376,0,1958,0,29000,418,12
40,40,Afghanistan,30175,535,675,36,10174,19326,19
41,41,Dominican Republic,28631,0,691,0,16006,11934,182
42,42,Panama,28030,0,547,0,14794,12689,130
43,43,Bolivia,27487,1098,876,30,6795,19816,71
44,44,Ireland,25396,0,1726,0,23364,306,9
45,45,Romania,24826,0,1555,0,17391,5880,186
46,46,Bahrain,23570,0,69,0,17977,5524,37
47,47,Armenia,22488,771,397,11,11335,10756,10
48,48,Israel,22044,0,308,0,15940,5796,46
49,49,Nigeria,22020,0,542,0,7613,13865,7
50,50,Kazakhstan,19285,520,136,0,11882,7267,121
51,51,Japan,18024,0,963,0,16263,798,60
52,52,Austria,17449,0,693,0,16282,474,11
53,53,Moldova,15078,0,495,0,8400,6183,476
54,54,Ghana,15013,0,95,0,11078,3840,6
55,55,Guatemala,14819,279,601,19,2930,11288,5
56,56,Honduras,14571,628,417,12,1546,12608,13
57,57,Azerbaijan,14305,0,174,0,7768,6363,66
58,58,Serbia,13235,0,263,0,12111,861,21
59,59,Denmark,12615,0,603,0,11422,590,8
60,60,Cameroon,12592,0,313,0,10100,2179,28
61,61,S. Korea,12563,28,282,1,10974,1307,15
62,62,Algeria,12248,0,869,0,8792,2587,45
63,63,Morocco,10907,0,216,0,8468,2223,7
64,64,Czechia,10777,0,343,0,7588,2846,9
65,65,Nepal,10728,0,24,0,2338,8366,0
66,66,Sudan,8889,0,548,0,3699,4642,0
67,67,Norway,8788,0,249,0,8138,401,6
68,68,Malaysia,8596,0,121,0,8231,244,2
69,69,Ivory Coast,8164,0,58,0,3419,4687,0
70,70,Australia,7558,37,104,1,6931,523,2
71,71,Finland,7167,0,327,0,6600,240,2
72,72,Uzbekistan,6990,89,19,0,4685,2286,19
73,73,DRC,6213,0,142,0,870,5201,0
74,74,Senegal,6129,0,93,0,4072,1964,24
75,75,Tajikistan,5630,0,52,0,4194,1384,0
76,76,North Macedonia,5445,0,259,0,2091,3095,55
77,77,Haiti,5429,105,92,3,512,4825,0
78,78,Kenya,5206,0,130,0,1823,3253,7
79,79,Guinea,5174,0,29,0,3861,1284,24
80,80,El Salvador,5150,0,119,0,2950,2081,141
81,81,Ethiopia,5034,0,78,0,1486,3470,38
82,82,Gabon,4956,0,39,0,2177,2740,12
83,83,Djibouti,4630,0,52,0,4182,396,0
84,84,Venezuela,4366,0,38,0,1327,3001,6
85,85,Bulgaria,4242,0,209,0,2263,1770,16
86,86,Luxembourg,4140,0,110,0,3965,65,1
87,87,Hungary,4123,9,577,1,2640,906,13
88,88,Kyrgyzstan,3954,228,43,1,2112,1799,30
89,89,Bosnia and Herzegovina,3676,0,173,0,2297,1206,4
90,90,Mauritania,3519,0,116,0,1074,2329,20
91,91,Greece,3310,0,190,0,1374,1746,8
92,92,Thailand,3158,1,58,0,3038,62,1
93,93,CAR,3099,0,38,0,572,2489,2
94,94,Somalia,2835,0,90,0,829,1916,2
95,95,French Guiana,2827,0,9,0,1056,1762,15
96,96,Costa Rica,2515,0,12,0,1210,1293,5
97,97,Mayotte,2467,0,32,0,2218,217,8
98,98,Croatia,2388,0,107,0,2145,136,0
99,99,Cuba,2319,0,85,0,2130,104,1
100,100,Maldives,2261,0,8,0,1839,414,9
