,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
203,203,Vatican City,12,, ,,12,0,
204,204,Montserrat,11,,1 ,,10,0,
205,205,Seychelles,11,, ,,11,0,
206,206,MS Zaandam,9,,2 ,,,7,
207,207,Western Sahara,9,,1 ,,8,0,
208,208,British Virgin Islands,8,,1 ,,7,0,
209,209,Papua New Guinea,8,, ,,8,0,
210,210,Caribbean Netherlands,7,, ,,7,0,
211,211,St. Barth,6,, ,,6,0,
212,212,Lesotho,4,, ,,2,2,
213,213,Anguilla,3,, ,,3,0,
214,214,Saint Pierre Miquelon,1,, ,,1,0,
215,215,China,"83,352",+27,"4,634 ",,"78,410",308,11
216,,Total:,"2,659,091","+6,270","152,549",+690,"1,187,252","1,319,290","19,342"
217,,Total:,"1,701,177",+977,"68,830",+18,"915,745","716,602","12,380"
218,,Total:,"2,283,096",,"186,934",,"1,235,008","861,154","6,370"
219,,Total:,"1,823,444","+7,127","46,516",+153,"1,145,532","631,396","16,199"
220,,Total:,"288,812",,"7,713",,"135,176","145,923",499
221,,Total:,"9,026",+3,124,,"8,470",432,2
222,,Total:,721,,15,,651,55,4
223,,Total:,"8,765,367","+14,377","462,681",+861,"4,627,834","3,674,852","54,796"
