,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"9,098,970","+59,875","471,519","+1,915","4,873,128","3,754,323","57,870"
1,1,USA,"2,363,825","+7,168","122,292 ",+45,"980,836","1,260,697","16,477"
2,2,Brazil,"1,086,990",,"50,659 ",,"579,226","457,105","8,318"
3,3,Russia,"592,280","+7,600","8,206 ",+95,"344,416","239,658","2,300"
4,4,India,"430,708","+3,798","13,780 ",+77,"240,289","176,639","8,944"
5,5,UK,"305,289",+958,"42,647 ",+15,N/A,N/A,379
6,6,Spain,"293,352",,"28,323 ",,N/A,N/A,617
7,7,Peru,"254,936",,"8,045 ",,"141,967","104,924","1,143"
8,8,Chile,"246,963","+4,608","4,502 ",+23,"205,397","37,064","2,014"
9,9,Italy,"238,499",,"34,634 ",,"182,893","20,972",148
10,10,Iran,"207,525","+2,573","9,742 ",+119,"166,427","31,356","2,898"
11,11,Germany,"191,718",+143,"8,964 ",+2,"174,900","7,854",368
12,12,Turkey,"187,685",,"4,950 ",,"160,240","22,495",803
13,13,Pakistan,"181,088","+4,471","3,590 ",+89,"71,458","106,040","3,219"
14,14,Mexico,"180,545","+5,343","21,825 ","+1,044","135,279","23,441",378
15,15,Saudi Arabia,"161,005","+3,393","1,307 ",+40,"105,175","54,523","2,045"
16,16,France,"160,377",,"29,640 ",,"74,372","56,365",715
17,17,Bangladesh,"115,786","+3,480","1,502 ",+38,"46,755","67,529",1
18,18,Canada,"101,498",+161,"8,433 ",+3,"64,100","28,965","2,026"
19,19,South Africa,"97,302",,"1,930 ",,"51,608","43,764",208
20,20,Qatar,"88,403","+1,034",99 ,+1,"69,956","18,348",219
21,21,Colombia,"68,652",,"2,237 ",,"27,360","39,055",335
22,22,Belgium,"60,550",,"9,696 ",,"16,771","34,083",50
23,23,Belarus,"59,023",+518,351 ,+5,"37,923","20,749",89
24,24,Sweden,"56,043",,"5,053 ",,N/A,N/A,200
25,25,Egypt,"55,233",,"2,193 ",,"14,736","38,304",41
26,26,Ecuador,"50,640",,"4,223 ",,"24,991","21,426",273
27,27,Netherlands,"49,658",+65,"6,090 ",,N/A,N/A,55
28,28,Indonesia,"46,845",+954,"2,500 ",+35,"18,735","25,610",
29,29,UAE,"44,925",,302 ,,"32,415","12,208",1
30,30,Argentina,"42,785",,"1,016  ",+5,"13,153","28,616",353
31,31,Singapore,"42,313",+218,26 ,,"35,590","6,697",1
32,32,Kuwait,"40,291",+641,330 ,+4,"31,770","8,191",181
33,33,Portugal,"39,392",+259,"1,534 ",+4,"25,548","12,310",72
34,34,Ukraine,"37,241",+681,"1,012 ",+10,"16,642","19,587",353
35,35,Iraq,"32,676","+1,808","1,167 ",+67,"14,785","16,724",222
36,36,Poland,"32,227",+296,"1,359 ",+3,"17,076","13,792",72
37,37,Switzerland,"31,310",+18,"1,956 ",,"29,000",354,16
